Exact,VQE,Diff%,COBYLA
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,5.621052505620767
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,2.4221367199970842
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,1.5612296593027226
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,1.7067335247524493
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,4.127281604566673
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,1.5253757082649484
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,2.5410108511812917
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,6.347341086808214
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,3.989857706958415
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,3.1127207381671713
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.4289033933320585
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,2.7100600578314538
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.8821696398517975
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,2.0941571081447314
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,1.1311004351010503
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.23351525482801527
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.12295810762863546
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.27783076621517644
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.3430863830505775
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,1.3830005532224323
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.19160819122109984
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,2.8166155249961387
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.3142139447967782
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.11896631142500169
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.5634870674421126
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.8220909534951772
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.028662999522172328
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.13082427054531998
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.05912302541116965
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.029157608875655328
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.05282572745203851
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.04614347950384712
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.030234391878414257
-1.4177017979808184,-1.417701776808796,-1.493404493644081e-06,0.15372464476048897
